Date,Close
05/11/18,1602.91
05/14/18,1601.54
05/15/18,1576.12
05/16/18,1587.28
05/17/18,1581.76
05/18/18,1574.37
05/21/18,1585.46
05/22/18,1581.4
05/23/18,1601.86
05/24/18,1603.07
05/25/18,1610.15
05/29/18,1612.87
05/30/18,1624.89
05/31/18,1629.62
06/01/18,1641.54
06/04/18,1665.27
06/05/18,1696.35
06/06/18,1695.75
06/07/18,1689.3
06/08/18,1683.99
06/11/18,1689.12
06/12/18,1698.75
06/13/18,1704.86
06/14/18,1723.86
06/15/18,1715.97
06/18/18,1723.79
06/19/18,1734.78
06/20/18,1750.08
06/21/18,1730.22
06/22/18,1715.67
06/25/18,1663.15
06/26/18,1691.09
06/27/18,1660.51
06/28/18,1701.45
06/29/18,1699.8
07/02/18,1713.78
07/03/18,1693.96
07/05/18,1699.73
07/06/18,1710.63
07/09/18,1739.02
07/10/18,1743.07
07/11/18,1755
07/12/18,1796.62
07/13/18,1813.03
07/16/18,1822.49
07/17/18,1843.93
07/18/18,1842.92
07/19/18,1812.97
07/20/18,1813.7
07/23/18,1802
07/24/18,1829.24
07/25/18,1863.61
07/26/18,1808
07/27/18,1817.27
07/30/18,1779.22
07/31/18,1777.44
08/01/18,1797.17
08/02/18,1834.33
08/03/18,1823.29
08/06/18,1847.75
08/07/18,1862.48
08/08/18,1886.52
08/09/18,1898.52
08/10/18,1886.3
08/13/18,1896.2
08/14/18,1919.65
08/15/18,1882.62
08/16/18,1886.52
08/17/18,1882.22
08/20/18,1876.71
08/21/18,1883.42
08/22/18,1904.9
08/23/18,1902.9
08/24/18,1905.39
08/27/18,1927.68
08/28/18,1932.82
08/29/18,1998.1
08/30/18,2002.38
08/31/18,2012.71
09/04/18,2039.51
09/05/18,1994.82
09/06/18,1958.31
09/07/18,1952.07
09/10/18,1939.01
09/11/18,1987.15
09/12/18,1990
09/13/18,1989.87
09/14/18,1970.19
09/17/18,1908.03
09/18/18,1941.05
09/19/18,1926.42
09/20/18,1944.3
09/21/18,1915.01
09/24/18,1934.36
09/25/18,1974.55
09/26/18,1974.85
09/27/18,2012.98
09/28/18,2003
10/01/18,2004.36
10/02/18,1971.31
10/03/18,1952.76
10/04/18,1909.42
10/05/18,1889.65
10/08/18,1864.42
10/09/18,1870.32
10/10/18,1755.25
10/11/18,1719.36
10/12/18,1788.61
10/15/18,1760.95
10/16/18,1819.96
10/17/18,1831.73
10/18/18,1770.72
10/19/18,1764.03
10/22/18,1789.3
10/23/18,1768.7
10/24/18,1664.2
10/25/18,1782.17
10/26/18,1642.81
10/29/18,1538.88
10/30/18,1530.42
10/31/18,1598.01
11/01/18,1665.53
11/02/18,1665.53
11/05/18,1627.8
11/06/18,1642.81
11/07/18,1755.49
11/08/18,1754.91
11/09/18,1712.43
11/12/18,1636.85
11/13/18,1631.17
11/14/18,1599.01
11/15/18,1619.44
11/16/18,1593.41
11/19/18,1512.29
11/20/18,1495.46
11/21/18,1516.73
11/23/18,1502.06
11/26/18,1581.33
11/27/18,1581.42
11/28/18,1677.75
11/29/18,1673.57
11/30/18,1690.17
12/03/18,1772.36
12/04/18,1668.4
12/06/18,1699.19
12/07/18,1629.13
12/10/18,1641.03
12/11/18,1643.24
12/12/18,1663.54
12/13/18,1658.38
12/14/18,1591.91
12/17/18,1520.91
12/18/18,1551.48
12/19/18,1495.08
12/20/18,1460.83
12/21/18,1377.45
12/24/18,1343.96
12/26/18,1470.9
12/27/18,1461.64
12/28/18,1478.02
12/31/18,1501.97
01/02/19,1539.13
01/03/19,1500.28
01/04/19,1575.39
01/07/19,1629.51
01/08/19,1656.58
01/09/19,1659.42
01/10/19,1656.22
01/11/19,1640.56
01/14/19,1617.21
01/15/19,1674.56
01/16/19,1683.78
01/17/19,1693.22
01/18/19,1696.2
01/22/19,1632.17
01/23/19,1640.02
01/24/19,1654.93
01/25/19,1670.57
01/28/19,1637.89
01/29/19,1593.88
01/30/19,1670.43
01/31/19,1718.73
02/01/19,1626.23
02/04/19,1633.31
02/05/19,1658.81
02/06/19,1640.26
02/07/19,1614.37
02/08/19,1588.22
02/11/19,1591
02/12/19,1638.01
02/13/19,1640
02/14/19,1622.65
02/15/19,1607.95
02/19/19,1627.58
02/20/19,1622.1
02/21/19,1619.44
02/22/19,1631.56
02/25/19,1633
02/26/19,1636.4
02/27/19,1641.09
02/28/19,1639.83
03/01/19,1671.73
03/04/19,1696.17
03/05/19,1692.43
03/06/19,1668.95
03/07/19,1625.95
03/08/19,1620.8
03/11/19,1670.62
03/12/19,1673.1
03/13/19,1690.81
03/14/19,1686.22
03/15/19,1712.36
03/18/19,1742.15
03/19/19,1761.85
03/20/19,1797.27
03/21/19,1819.26
03/22/19,1764.77
03/25/19,1774.26
03/26/19,1783.76
03/27/19,1765.7
03/28/19,1773.42
03/29/19,1780.75
04/01/19,1814.19
04/02/19,1813.98
04/03/19,1820.7
04/04/19,1818.86
04/05/19,1837.28
04/08/19,1849.86
04/09/19,1835.84
04/10/19,1847.33
04/11/19,1844.07
04/12/19,1843.06
04/15/19,1844.87
04/16/19,1863.04
04/17/19,1864.82
04/18/19,1861.69
04/22/19,1887.31
04/23/19,1923.77
04/24/19,1901.75
04/25/19,1902.25
04/26/19,1950.63
04/29/19,1938.43
04/30/19,1926.52
05/01/19,1911.52
05/02/19,1900.82
05/03/19,1962.46
05/06/19,1950.55
05/07/19,1921
05/08/19,1917.77